Unnamed: 0	index	date	home	away	score	round_text	play_round	score_45	score_90	score_105	score_120	aet	pso	home_goals	away_goals	season	url	home_manager	away_manager	home_sheet	away_sheet
0	1	29/07/2017	AS Monaco	Paris Saint-Germain	1:2	Final	1.0	1:0	NA	NA	NA	False	False	1	2	-2017/	http://www.worldfootball.net/report/trophee-des-champions-2017-finale-as-monaco-paris-saint-germain/	Leonardo Jardim	Unai Emery	[Danijel Suba u i u, Terence Kongolo, Jemerson, Djibril Sidib xe, Kamil Glik, Almamy Tour xe, Fabinho, Youri Tielemans, Radamel Falcao, Kylian Mbapp xe, Thomas Lemar]	[Alphonse Ar xe ola, Thiago Silva, Marquinhos, Thomas Meunier, Layvin Kurzawa, Dani Alves, Marco Verratti, Thiago Motta, Javier Pastore, Adrien Rabiot, Edinson Cavani]
1	1	06/08/2016	Paris Saint-Germain	Olympique Lyon	4:1	Final	1.0	3:0	NA	NA	NA	False	False	4	1	-2016/	http://www.worldfootball.net/report/trophee-des-champions-2016-finale-paris-saint-germain-olympique-lyon/	Unai Emery	Bruno G\xe9n\xe9sio	[Kevin Trapp, Presnel Kimpembe, Serge Aurier, Layvin Kurzawa, David Luiz, Benjamin Stambouli, Lucas, Thiago Motta, Javier Pastore, Hatem Ben Arfa, xc ngel Di Mar xeda]	[Anthony Lopes, Mapou Yanga Mbiwa, Nicolas N Koulou, J xe r xe my Morel, Rafael, Corentin Tolisso, Sergi Darder, Maxime Gonalons, Alexandre Lacazette, Nabil Fekir, Maxwel Cornet]
2	1	01/08/2015	Paris Saint-Germain	Olympique Lyon	2:0	Final	1.0	2:0	NA	NA	NA	False	False	2	0	-2015/	http://www.worldfootball.net/report/trophee-des-champions-2015-finale-paris-saint-germain-olympique-lyon/	Laurent Blanc	Hubert Fournier	[Kevin Trapp, Thiago Silva, Maxwell, Serge Aurier, David Luiz, Marco Verratti, Lucas, Blaise Matuidi, Adrien Rabiot, Edinson Cavani, Zlatan Ibrahimovi u]	[Anthony Lopes, Henri B xe dimo, Bakary Kon xe, Christophe Jallet, Samuel Umtiti, Corentin Tolisso, Jordan Ferri, Maxime Gonalons, Claudio Beauvue, Alexandre Lacazette, Yassine Benzia]
3	1	02/08/2014	Paris Saint-Germain	EA Guingamp	2:0	Final	1.0	2:0	NA	NA	NA	False	False	2	0	-2014/	http://www.worldfootball.net/report/trophee-des-champions-2014-finale-paris-saint-germain-ea-guingamp/	Laurent Blanc	Jocelyn Gourvennec	[, Salvatore Sirigu, Marquinhos, Zoumana Camara, Lucas Digne, Gregory van der Wiel, Thiago Motta, Marco Verratti, Javier Pastore, Zlatan Ibrahimovi u, Jean Christophe Bahebeck]	[Salvatore Sirigu, Marquinhos, Zoumana Camara, Lucas Digne, Gregory van der Wiel, Thiago Motta, Marco Verratti, Javier Pastore, Zlatan Ibrahimovi u, Jean Christophe Bahebeck, Hervin Ongenda]
4	1	03/08/2013	Paris Saint-Germain	Girondins Bordeaux	2:1	Final	1.0	0:1	NA	NA	NA	False	False	2	1	-2013/	http://www.worldfootball.net/report/supercup-2013-finale-paris-saint-germain-girondins-bordeaux/	Laurent Blanc	Francis Gillot	[Salvatore Sirigu, Thiago Silva, Alex, Maxwell, Christophe Jallet, Thiago Motta, Blaise Matuidi, Javier Pastore, Lucas, Zlatan Ibrahimovi u, Ezequiel Lavezzi]	[C xe dric Carrasso, Lamine San xe, Mariano, Maxime Poundje, Ludovic Obraniak, Landry N Gu xe mo, Andr xe Biyogo Poko, Jaroslav Pla u il, Nicolas Maurice Belay, Gr xe gory Serti u, Henri Saivet]
5	1	28/07/2012	Montpellier HSC	Olympique Lyon	2:4	Final	1.0	1:1	2:2	2:2	NA	False	True	2	4	-2012/	http://www.worldfootball.net/report/trophee-des-champions-2012-finale-montpellier-hsc-olympique-lyon/	Ren\xe9 Girard	R\xe9mi Garde	[, Geoffrey Jourdren, Mapou Yanga Mbiwa, Hilton, Henri B xe dimo, Daniel Congr xe, Anthony Mounier, Marco Estrada, R xe my Cabella, Jamel Saihi, John Utaka]	[Geoffrey Jourdren, Mapou Yanga Mbiwa, Hilton, Henri B xe dimo, Daniel Congr xe, Anthony Mounier, Marco Estrada, R xe my Cabella, Jamel Saihi, John Utaka, Emanuel Herrera]
6	1	27/07/2011	Olympique Marseille	Lille OSC	5:4	Final	1.0	0:1	NA	NA	NA	False	False	5	4	-2011/	http://www.worldfootball.net/report/supercup-2011-finale-olympique-marseille-lille-osc/	Didier Deschamps	Rudi Garc\xeda	[Steve Mandanda, J xe r xe my Morel, Souleymane Diawara, Rod Fanni, Alou Diarra, Beno xeet Cheyrou, Lucho Gonz xe lez, St xe phane M bia, Morgan Amalfitano, Lo xefc R xe my, Andr xe Ayew]	[Micka xebl Landreau, Mathieu Debuchy, Franck B xe ria, Aur xe lien Chedjou, Marko Ba u a, Florent Balmont, Dimitri Payet, Beno xeet Pedretti, Rio Mavuba, Moussa Sow, Eden Hazard]
7	1	28/07/2010	Olympique Marseille	Paris Saint-Germain	5:4	Final	1.0	0:0	0:0	NA	NA	False	True	5	4	-2010/	no_url_exists	no_url_exists	no_url_exists	[no_url_exists]	[no_url_exists]
8	1	25/07/2009	Girondins Bordeaux	EA Guingamp	2:0	Final	1.0	 2:0	NA	NA	NA	False	False	2	0	-2009/	no_url_exists	no_url_exists	no_url_exists	[no_url_exists]	[no_url_exists]
9	1	02/08/2008	Girondins Bordeaux	Olympique Lyon	5:4	Final	1.0	 5:4	NA	NA	NA	False	True	5	4	-2008/	no_url_exists	no_url_exists	no_url_exists	[no_url_exists]	[no_url_exists]
